"img_id","category_id","class_id","coordinate_x","coordinate_y","width","height","uri","md5"
57105,1,5,0.449590995907784,0.558286831285745,0.187990993261337,0.243301211217271,/organoid/organoid/5vip8n6rp2jpuci4e2rau39vtk.png,"5vip8n6rp2jpuci4e2rau39vtk"
57106,1,5,0.006418485237484,0.325637836970475,0.017971758664955,0.044327663671374,/organoid/organoid/4omdc0moeuqm0m4feig7oh1jgv.png,"4omdc0moeuqm0m4feig7oh1jgv"
57106,1,5,0.008985879332478,0.359736039794609,0.017971758664955,0.037508023106547,/organoid/organoid/4omdc0moeuqm0m4feig7oh1jgv.png,"4omdc0moeuqm0m4feig7oh1jgv"
57106,1,5,0.019255455712452,0.806422496790757,0.043645699614891,0.044327663671374,/organoid/organoid/4omdc0moeuqm0m4feig7oh1jgv.png,"4omdc0moeuqm0m4feig7oh1jgv"
57106,1,5,0.057766367137356,0.153441912708601,0.043645699614891,0.040917843388960,/organoid/organoid/4omdc0moeuqm0m4feig7oh1jgv.png,"4omdc0moeuqm0m4feig7oh1jgv"
57106,1,5,0.465982028241335,0.071606225930680,0.038510911424904,0.034098202824134,/organoid/organoid/4omdc0moeuqm0m4feig7oh1jgv.png,"4omdc0moeuqm0m4feig7oh1jgv"
57106,1,5,0.537869062901155,0.767209563543004,0.048780487804878,0.047737483953787,/organoid/organoid/4omdc0moeuqm0m4feig7oh1jgv.png,"4omdc0moeuqm0m4feig7oh1jgv"
57106,1,5,0.613607188703466,0.088655327342747,0.041078305519897,0.047737483953787,/organoid/organoid/4omdc0moeuqm0m4feig7oh1jgv.png,"4omdc0moeuqm0m4feig7oh1jgv"
57106,1,5,0.689345314505777,0.182425385109114,0.028241335044929,0.030688382541720,/organoid/organoid/4omdc0moeuqm0m4feig7oh1jgv.png,"4omdc0moeuqm0m4feig7oh1jgv"
57106,1,5,0.825417201540436,0.567735077021823,0.043645699614891,0.037508023106547,/organoid/organoid/4omdc0moeuqm0m4feig7oh1jgv.png,"4omdc0moeuqm0m4feig7oh1jgv"
57107,1,5,0.370825022459030,0.435041026378090,0.237269639968872,0.332467827433226,/organoid/organoid/4eacfhpopb9jp1virsv4a1sd4k.png,"4eacfhpopb9jp1virsv4a1sd4k"
57107,1,5,0.532798259420507,0.639716226595439,0.056592315708858,0.077339629806327,/organoid/organoid/4eacfhpopb9jp1virsv4a1sd4k.png,"4eacfhpopb9jp1virsv4a1sd4k"
57107,1,5,0.962381761355638,0.825146380233169,0.070861736833472,0.255491071081682,/organoid/organoid/4eacfhpopb9jp1virsv4a1sd4k.png,"4eacfhpopb9jp1virsv4a1sd4k"
